elapsed_year,years_bp,people,expected_survivors,latitude,longitude,elevation_m,precipitation_mm_year,accounting_valid
70,99930,13385,13393.64476887,28.00000000,37.00000000,1043.08105469,54.15311108,true
71,99929,12249,12297.02649850,28.00000000,37.00000000,1043.08105469,54.14971807,true
72,99928,11165,11222.24137355,28.00000000,37.00000000,1043.08105469,54.14632507,true
73,99927,10156,10174.83578768,28.00000000,37.00000000,1043.08105469,54.14293207,true
74,99926,9160,9160.45117657,28.00000000,37.00000000,1043.08105469,54.13953907,true
75,99925,8160,8184.70772638,28.00000000,37.00000000,1043.08105469,54.13614607,true
76,99924,7236,7253.07138341,28.00000000,37.00000000,1043.08105469,54.13275307,true
77,99923,6372,6370.70712606,28.00000000,37.00000000,1043.08105469,54.12936007,true
78,99922,5535,5542.32299118,28.00000000,37.00000000,1043.08105469,54.12596706,true
79,99921,4746,4772.01094780,28.00000000,37.00000000,1043.08105469,54.12257406,true
80,99920,4053,4063.09224941,28.00000000,37.00000000,1043.08105469,54.11918106,true
