Order,PlotNo,Date,Year,Forager ID,StartTime,StopTime,Duration_min,Species,CommonName,PartCollected,GrossWt_lb,GrossWt_n,EdibleWt_lb,EdibleWt_g,EdibleWt_n,ProcessingTime_min,excel_row,exclusion
274.0,Plot18,2017-09-04,2017,2,10:05:00,10:55:00,50,Ferraria crispa,,Corm,,,0.07,31.75,1.0,,60,
41.0,Plot13,2016-10-19,2016,3,14:41:00,15:27:00,46,Prionium serratum,palmiet,Meristem,,,1.52,689.46,5.0,,61,author species exclusion
85.0,Plot18,2015-08-27,2015,4,12:36:00,13:26:00,50,Ferraria crispa,?,Corm,,,0.335,151.95,153.0,,62,
99.0,Plot02,2015-09-07,2015,5,09:49:00,12:21:00,152,Cyphia digitata,baroe,Tuber,,,0.05,22.68,7.0,,63,
102.0,Plot02,2015-09-07,2015,5,09:49:00,12:21:00,152,Satyrium longicolle,?,Tuber,,,0.535,242.67,100.0,,64,
125.0,Plot03,2015-09-08,2015,5,12:35:00,13:13:00,38,Babiana patula,bobbejaantjie,Corm,0.08,7.0,0.0192,8.71,7.0,2.5,65,
132.0,Plot04,2015-09-09,2015,5,12:27:00,13:01:00,34,Freesia sp,vrot patat/ Mike bulb,Corm,0.0225,4.0,0.01,4.54,4.0,,66,
141.0,Plot05,2015-09-09,2015,5,14:20:00,16:20:00,120,Oxalis pes-caprae,suuring,Leaves,,,1.5,680.39,207.0,,67,author part exclusion
142.0,Plot05,2015-09-09,2015,5,14:20:00,16:20:00,120,Oxalis pes-caprae,suuring (nuts),nuts,,,0.03,13.61,141.0,,68,
144.0,Plot05,2015-09-09,2015,5,14:20:00,16:20:00,120,Oxalis pes-caprae,suuring (Root),Root,,,0.145,65.77,0.0,,69,
15.0,Plot11,2015-11-06,2015,6,10:20:00,11:00:00,40,Conicosia pugioniformis,varkwortel,Root,,,0.26,117.93,10.0,,70,
25.0,Plot12,2015-11-06,2015,6,12:18:00,12:32:00,14,Pelargonium lobatum,platblaar patat,Tuber,,,0.265,120.2,3.0,,71,
28.0,Plot12,2015-11-06,2015,6,12:18:00,12:32:00,14,Searsia glauca,,berries,0.305,790.0,0.08,36.29,790.0,,72,author part exclusion
36.0,Plot13,2015-11-12,2015,6,09:54:00,12:07:00,133,Prionium serratum,palmiet,Meristem,22.03,59.0,4.59,2081.99,59.0,36,73,author species exclusion
136.0,Plot04,2016-09-02,2016,7,11:28:00,12:13:00,45,Freesia sp,vrot patat/ Mike bulb,Corm,0.04,4.0,0.04,18.14,4.0,,74,
