age_ka,PC1,sigma,q025,q25,median,q75,q975
737.0,-48.25,9.49,-70.58,-58.28,-51.55,-45.28,-33.25
738.0,-47.66,8.0,-68.08,-58.33,-53.08,-47.62,-35.58
739.0,-52.7,7.47,-68.42,-59.55,-55.17,-50.39,-38.4
740.0,-56.43,7.56,-71.27,-62.35,-57.96,-53.09,-40.99
741.0,-58.79,7.9,-75.6,-65.93,-61.16,-56.26,-43.71
742.0,-61.79,8.35,-79.93,-69.33,-63.76,-58.47,-47.53
743.0,-64.82,8.95,-83.65,-72.78,-66.39,-60.5,-49.84
744.0,-67.33,9.53,-87.32,-76.05,-69.07,-62.11,-50.84
745.0,-69.88,10.21,-90.82,-79.16,-71.69,-64.3,-52.07
746.0,-71.14,10.81,-92.85,-81.71,-73.75,-65.58,-52.48
747.0,-73.88,11.09,-94.39,-83.38,-75.25,-66.78,-52.67
748.0,-73.75,11.21,-94.79,-84.35,-76.34,-67.45,-52.95
749.0,-74.38,11.27,-93.77,-84.02,-75.27,-67.36,-51.82
750.0,-74.08,11.12,-92.75,-81.51,-73.32,-65.32,-50.6
751.0,-68.3,10.7,-90.54,-79.26,-71.22,-63.23,-50.33
752.0,-65.75,10.14,-88.45,-76.41,-69.03,-62.08,-49.68
753.0,-65.13,9.74,-85.12,-73.65,-66.84,-59.84,-48.78
754.0,-63.7,9.99,-83.39,-72.01,-65.44,-58.41,-45.28
755.0,-61.85,9.74,-81.81,-70.62,-63.88,-57.69,-42.6
756.0,-59.1,9.15,-80.41,-68.34,-62.28,-56.15,-43.32
757.0,-58.67,8.65,-78.2,-65.82,-60.09,-54.65,-43.29
758.0,-57.34,8.29,-74.9,-63.51,-57.76,-52.76,-42.26
759.0,-53.97,7.98,-72.19,-61.68,-55.73,-50.56,-40.67
760.0,-50.83,8.28,-69.9,-59.36,-53.6,-48.14,-38.3
761.0,-49.19,9.39,-68.65,-57.02,-51.02,-44.89,-31.34
762.0,-47.72,10.18,-66.67,-54.29,-48.05,-40.85,-26.67
763.0,-41.61,10.55,-65.02,-52.35,-45.46,-38.11,-22.64
764.0,-39.17,10.6,-62.98,-49.93,-42.52,-35.71,-21.61
765.0,-39.26,10.2,-60.15,-46.59,-39.57,-32.88,-21.5
766.0,-36.3,9.78,-57.3,-43.58,-36.74,-30.41,-18.89
767.0,-32.18,9.25,-53.96,-39.97,-33.47,-27.86,-17.48
768.0,-27.3,8.83,-49.14,-36.28,-30.07,-24.48,-14.2
769.0,-23.7,8.72,-44.96,-32.27,-26.51,-20.48,-10.41
770.0,-20.71,8.85,-40.62,-28.57,-22.95,-16.59,-5.68
771.0,-16.21,9.36,-36.7,-25.05,-19.34,-12.41,0.45
772.0,-12.24,9.65,-33.34,-22.03,-15.68,-8.76,4.81
773.0,-8.0,9.32,-29.97,-19.47,-13.09,-6.43,5.74
774.0,-6.3,9.02,-28.85,-18.24,-11.75,-5.5,5.77
775.0,-8.56,9.14,-29.26,-17.93,-12.14,-5.57,5.33
776.0,-9.1,9.35,-30.76,-19.55,-13.26,-6.93,5.17
777.0,-12.76,9.52,-33.06,-21.89,-15.09,-8.51,4.17
778.0,-13.68,9.66,-34.57,-22.65,-15.93,-9.56,3.18
779.0,-14.49,9.66,-36.23,-23.77,-17.07,-10.7,1.96
780.0,-13.01,10.2,-38.78,-25.63,-19.2,-11.66,1.15
781.0,-15.3,10.96,-42.45,-28.25,-21.05,-13.44,0.43
782.0,-20.86,11.62,-46.82,-30.45,-23.02,-14.84,0.01
783.0,-23.36,11.87,-48.82,-32.84,-25.44,-16.56,-2.96
784.0,-22.74,11.74,-50.84,-36.29,-28.56,-19.61,-5.59
785.0,-26.25,11.63,-54.36,-40.04,-32.96,-24.05,-10.44
786.0,-31.59,11.87,-61.27,-46.76,-38.97,-30.02,-15.69
787.0,-41.56,12.46,-72.15,-55.67,-47.34,-38.98,-23.61
788.0,-54.67,13.48,-87.77,-66.76,-57.78,-49.15,-33.61
789.0,-67.49,13.35,-96.99,-78.04,-68.73,-59.41,-44.85
790.0,-79.84,12.08,-102.8,-86.19,-77.96,-69.53,-56.52
791.0,-86.47,10.82,-106.83,-91.03,-83.72,-76.89,-64.92
792.0,-87.48,9.95,-107.39,-95.07,-87.58,-81.15,-69.51
793.0,-86.61,10.48,-112.01,-97.59,-89.93,-83.41,-71.38
794.0,-88.16,11.22,-116.26,-99.52,-91.83,-84.98,-72.14
795.0,-93.19,11.18,-118.5,-100.71,-93.22,-86.46,-73.3
796.0,-95.67,11.11,-119.16,-101.48,-94.26,-87.34,-74.88
797.0,-93.05,10.78,-117.79,-102.47,-95.37,-87.66,-74.96
798.0,-92.37,10.08,-114.68,-102.23,-95.41,-88.18,-75.73
