age_ka,PC1,sigma,q025,q25,median,q75,q975
115.0,-26.17,9.45,-48.38,-36.49,-30.33,-24.09,-10.53
116.0,-22.5,9.57,-44.07,-29.48,-23.74,-17.35,-4.55
117.0,-14.09,9.32,-38.52,-23.36,-17.35,-12.11,-0.28
118.0,-7.56,9.65,-33.23,-17.64,-11.88,-5.92,5.2
119.0,-4.0,9.15,-25.34,-12.19,-6.83,-0.92,11.96
120.0,2.68,8.61,-20.11,-9.0,-3.73,2.23,13.96
121.0,3.13,8.04,-16.66,-7.07,-2.31,3.52,14.85
122.0,2.27,7.48,-16.48,-6.04,-1.37,3.44,14.31
123.0,1.2,7.72,-18.3,-8.1,-3.35,1.76,11.66
124.0,-1.18,7.99,-23.61,-11.52,-6.28,-1.15,7.96
125.0,-6.65,9.21,-32.76,-18.1,-11.68,-5.96,3.82
126.0,-12.72,10.54,-42.73,-26.53,-18.75,-12.53,-1.38
127.0,-27.1,12.33,-57.04,-37.36,-28.83,-21.14,-8.26
128.0,-36.13,14.35,-73.57,-52.24,-42.87,-33.05,-15.92
129.0,-52.95,15.22,-87.96,-67.36,-56.62,-46.42,-27.15
130.0,-73.72,16.05,-103.29,-82.63,-71.44,-60.9,-40.2
131.0,-82.93,15.15,-117.04,-98.46,-88.1,-77.89,-58.22
132.0,-102.14,13.62,-126.92,-110.98,-101.88,-92.27,-75.11
133.0,-114.38,11.96,-132.62,-119.7,-111.55,-103.14,-86.55
134.0,-120.26,9.69,-137.19,-125.8,-119.76,-113.13,-98.98
135.0,-123.76,8.33,-139.42,-129.57,-123.98,-118.07,-106.97
136.0,-123.95,7.89,-140.25,-130.79,-125.3,-120.17,-109.67
137.0,-123.61,7.89,-140.8,-130.68,-125.57,-120.11,-109.74
138.0,-122.72,7.99,-140.44,-129.97,-124.68,-119.22,-108.75
139.0,-120.94,8.16,-138.39,-127.79,-122.63,-116.85,-106.21
140.0,-118.88,8.2,-135.75,-125.28,-120.03,-114.41,-103.44
141.0,-113.45,8.21,-131.84,-122.39,-116.8,-111.18,-100.51
142.0,-110.78,8.29,-128.79,-118.53,-112.87,-107.54,-96.54
143.0,-106.75,8.15,-124.16,-114.8,-109.6,-103.99,-93.07
144.0,-102.4,8.25,-122.01,-112.35,-106.85,-101.29,-89.94
145.0,-100.34,8.37,-119.96,-109.97,-104.54,-98.72,-87.28
146.0,-100.71,8.59,-118.42,-108.22,-103.03,-96.5,-84.49
147.0,-99.52,8.79,-117.05,-107.36,-102.08,-95.39,-83.15
148.0,-99.18,9.39,-116.17,-106.02,-100.23,-93.34,-80.07
149.0,-96.94,9.97,-115.26,-103.92,-97.9,-90.54,-76.2
150.0,-90.79,10.67,-113.37,-102.05,-95.01,-87.4,-71.82
151.0,-86.92,11.06,-111.4,-99.12,-92.24,-83.85,-68.1
152.0,-85.9,11.34,-110.22,-96.86,-89.58,-81.43,-66.06
153.0,-85.22,11.65,-110.45,-97.3,-89.2,-80.84,-64.99
154.0,-86.91,11.83,-111.48,-98.44,-90.64,-82.45,-65.21
155.0,-89.71,11.76,-112.73,-99.79,-91.96,-83.92,-66.29
156.0,-92.51,11.48,-113.12,-100.42,-92.67,-84.86,-67.92
157.0,-92.67,11.16,-113.7,-100.61,-93.05,-85.37,-69.1
158.0,-88.91,10.91,-113.41,-99.72,-92.28,-85.38,-69.99
159.0,-87.94,10.66,-111.3,-98.16,-90.87,-83.71,-69.84
160.0,-86.95,10.45,-107.26,-95.19,-88.21,-80.59,-68.12
161.0,-85.29,10.52,-105.8,-92.69,-85.6,-78.44,-65.74
162.0,-78.74,10.6,-102.72,-90.32,-82.85,-75.54,-61.83
163.0,-77.08,10.76,-99.81,-86.67,-79.8,-72.56,-58.32
164.0,-74.42,10.78,-95.44,-83.01,-75.6,-68.42,-53.52
165.0,-71.66,10.86,-93.59,-79.24,-72.12,-64.79,-49.49
166.0,-65.29,10.33,-89.4,-76.25,-69.31,-62.31,-48.42
167.0,-61.69,9.94,-85.89,-72.48,-65.66,-59.57,-46.43
168.0,-61.52,9.69,-81.74,-69.19,-62.71,-56.22,-43.66
169.0,-58.16,9.47,-79.33,-67.77,-61.54,-54.97,-42.17
170.0,-55.34,9.17,-78.42,-67.77,-62.19,-56.07,-41.44
171.0,-57.68,8.82,-77.29,-68.06,-62.28,-56.49,-42.28
172.0,-64.45,8.71,-77.05,-68.55,-63.67,-57.32,-43.49
173.0,-63.15,8.51,-78.23,-70.04,-64.78,-58.48,-45.47
174.0,-62.14,8.69,-80.7,-71.67,-66.18,-60.24,-46.37
175.0,-61.42,8.85,-80.24,-71.57,-65.43,-59.77,-45.66
176.0,-63.68,9.14,-82.02,-72.06,-66.06,-59.79,-45.79
177.0,-62.61,9.6,-83.68,-73.85,-67.49,-60.26,-46.73
178.0,-66.03,9.64,-85.56,-74.81,-68.69,-61.61,-48.19
179.0,-68.55,9.63,-86.44,-75.59,-69.38,-62.33,-49.27
180.0,-68.12,9.68,-88.3,-77.06,-70.72,-63.29,-50.86
181.0,-68.54,9.97,-89.62,-78.0,-71.39,-64.11,-51.12
182.0,-68.59,9.78,-89.92,-78.07,-71.76,-64.75,-51.76
183.0,-68.86,9.53,-90.08,-78.67,-72.54,-64.68,-52.43
184.0,-70.31,9.51,-89.26,-78.19,-72.09,-65.05,-52.66
185.0,-71.5,9.33,-87.58,-77.45,-71.15,-64.56,-52.5
186.0,-67.51,8.85,-84.5,-75.22,-68.79,-62.88,-51.87
187.0,-64.13,8.55,-82.3,-71.93,-65.89,-59.94,-50.01
188.0,-58.98,8.27,-77.78,-67.62,-61.36,-55.92,-46.09
189.0,-55.74,8.01,-72.75,-62.73,-57.1,-51.35,-42.15
190.0,-50.97,8.16,-67.22,-57.6,-52.01,-46.21,-35.52
191.0,-44.91,8.28,-63.42,-52.64,-46.74,-41.06,-30.9
192.0,-37.3,7.61,-57.51,-47.6,-42.3,-37.11,-27.61
193.0,-32.83,7.39,-52.64,-42.17,-37.25,-32.37,-22.84
194.0,-32.43,7.44,-47.73,-37.17,-32.42,-27.43,-18.33
195.0,-26.14,8.12,-43.23,-33.18,-28.05,-22.88,-11.59
196.0,-21.7,8.7,-40.12,-28.89,-24.05,-18.31,-5.12
197.0,-13.48,8.23,-33.94,-24.26,-19.2,-13.25,-1.05
198.0,-10.09,7.57,-29.94,-20.77,-15.88,-11.08,-1.05
199.0,-7.72,7.42,-30.57,-20.34,-15.46,-10.63,-1.53
200.0,-11.24,7.13,-31.15,-21.22,-16.63,-12.39,-2.01
201.0,-19.54,7.77,-34.84,-24.52,-19.6,-14.38,-3.75
202.0,-21.5,7.83,-37.32,-28.16,-23.02,-17.6,-6.2
203.0,-26.54,8.11,-38.42,-29.03,-23.74,-18.29,-6.62
204.0,-23.73,8.69,-36.98,-28.07,-21.98,-16.31,-3.55
205.0,-14.39,9.93,-37.8,-27.66,-20.83,-14.15,1.82
206.0,-9.84,10.21,-36.75,-23.61,-17.29,-10.41,4.99
207.0,-14.1,10.51,-33.07,-21.26,-13.94,-6.62,6.94
208.0,-10.13,11.06,-33.91,-21.32,-13.7,-5.44,8.75
209.0,-10.6,11.02,-36.1,-20.97,-13.9,-6.54,8.31
210.0,-11.47,10.71,-32.76,-19.24,-12.81,-5.59,9.33
211.0,-9.45,10.92,-32.57,-18.72,-11.89,-4.64,10.22
212.0,-7.38,10.99,-32.48,-18.05,-11.21,-3.82,11.61
213.0,-6.78,10.76,-31.36,-17.67,-10.85,-3.19,10.74
214.0,-7.05,10.24,-31.51,-18.03,-11.46,-4.62,9.5
215.0,-9.18,10.12,-34.08,-21.34,-14.51,-7.75,5.23
216.0,-13.1,10.0,-38.83,-25.91,-18.8,-12.53,0.74
217.0,-23.51,10.25,-45.06,-32.1,-24.78,-17.92,-3.7
218.0,-29.26,10.72,-53.69,-40.67,-33.2,-25.52,-11.56
219.0,-36.81,11.23,-64.27,-50.38,-42.7,-35.43,-20.7
220.0,-49.33,11.33,-71.72,-59.04,-51.42,-43.59,-28.9
221.0,-61.75,11.26,-80.17,-68.19,-60.18,-52.19,-37.15
222.0,-67.03,9.92,-84.7,-74.38,-67.77,-60.64,-45.94
223.0,-73.68,9.27,-88.74,-78.82,-72.81,-66.19,-51.96
224.0,-72.15,8.69,-89.32,-80.54,-74.72,-68.48,-55.76
225.0,-74.35,8.04,-89.03,-79.86,-74.2,-68.83,-57.44
226.0,-70.68,7.46,-86.16,-77.73,-72.39,-67.26,-56.76
227.0,-66.88,7.29,-84.73,-75.81,-70.96,-65.97,-56.14
