seq339,name,year,ethref,latitude,longitude,wldsec,subpop,fishing,cmat,crr,density,density_per_km2,nomov,dismov,distance_km_year,km_per_move,tlpop
111,Jankundjara-So.Australia,1922,Tindale pers. Comm. 1966,-27.0,131.95,Aust.,n,0.0,20.74083333,189.27,1.0,0.01,12.0,298.0,479.584512,39.965376,572.0
112,No-Arenda-No-Territory,1900,Spencer & Gillen 1927,-23.7,133.76,Aust.,n,0.0,20.84333333,277.63,2.66,0.026600000000000002,14.0,285.0,458.66304,32.76164571428571,2045.0
114,Nakako-West-Australia,1912,Peterson & Long 1986,-27.31,128.19,Aust.,n,5.0,20.24833333,213.8,0.87,0.0087,17.0,360.0,579.36384,34.08022588235294,429.0
117,Kaurna-So-Australia,1840,,-34.56,138.4,Aust.,n,35.0,17.18,535.6,18.0,0.18,8.0,100.0,160.9344,20.1168,1296.0
129,Kiliwa,1880,Meigs 1939,31.44,-115.25,NoAmer,n,30.0,19.47416667,203.876,12.25,0.1225,7.0,90.0,144.84096,20.691565714285712,445.0
130,Diegueno_(Southern),1850,,32.44,-116.49,NoAmer,n,20.0,17.2375,275.411,18.1,0.18100000000000002,7.0,80.0,128.74752,18.39250285714286,3000.0
131,Lake_Yokuts,1860,,36.0,-119.83,NoAmer,n,30.0,18.33416667,168.284,38.1,0.381,1.0,4.0,6.437376,6.437376,6500.0
132,Serrano,1870,,34.52,-117.0,NoAmer,n,0.0,17.47583333,235.345,17.58,0.17579999999999998,7.0,90.0,144.84096,20.691565714285712,3500.0
133,Luiseno,1860,,33.42,-117.3,NoAmer,n,25.0,16.89416667,314.334,67.9,0.679,2.0,18.0,28.968192000000002,14.484096000000001,5500.0
134,Wukchumi,1860,Gayton 1948a,36.45,-118.96,NoAmer,n,15.0,17.40833333,654.232,24.21,0.2421,5.0,50.0,80.4672,16.09344,92.0
135,Tubatulabal,1850,Voegelin 1938,36.0,-118.32,NoAmer,n,15.0,17.63416667,211.465,17.2,0.172,9.0,110.0,177.02784000000003,19.669760000000004,1000.0
136,Nomlaki-Western_Wintun,1850,Goldschmidt pers. Comm. 1966,40.0,-122.56,NoAmer,n,10.0,16.41083333,510.734,35.0,0.35,3.0,33.0,53.108352000000004,17.702784,1575.0
137,Yokuts-(N.Foothills),1850,Cook 1955,37.44,-120.44,NoAmer,n,25.0,15.93916667,472.417,38.29,0.3829,6.0,70.0,112.65408000000001,18.77568,360.0
138,Patwin-So.Hill_Wintun,1850,Barrett 1908,39.08,-122.05,NoAmer,n,20.0,16.33166667,445.67,82.0,0.82,2.0,14.0,22.530816,11.265408,1517.0
140,Monachi-Southern,1870,,36.6,-117.08,NoAmer,n,20.0,15.87,128.727,28.7,0.287,9.0,85.0,136.79424,15.19936,387.0
141,Eastern_Pomo,1860,Barrett 1908,39.03,-122.94,NoAmer,n,25.0,15.44416667,819.963,127.0,1.27,3.0,36.0,57.936384000000004,19.312128,940.0
146,Nisenan-So._Maidu,1850,Cook & Heizer 1965,39.03,-121.15,NoAmer,n,20.0,14.84166667,958.862,39.75,0.3975,1.0,5.0,8.04672,8.04672,4770.0
155,Wappo,1860,Barrett 1908 Driver 1936 Cook & Heizer 1965,38.59,-122.54,NoAmer,n,30.0,13.87583333,861.158,120.6,1.206,2.0,8.0,12.874752,6.437376,1170.0
157,Yana_(Northern),1860,,40.38,-122.89,NoAmer,n,30.0,12.13583333,941.202,31.3,0.313,4.0,85.0,136.79424,34.19856,1820.0
158,Miwok_(Sierra),1850,Cook & Heizer 1965 Barrett 1908  (1850s(,38.0,-122.77,NoAmer,n,10.0,12.02166667,867.959,24.54,0.24539999999999998,4.0,32.0,51.499008,12.874752,1212.0
162,Shasta-(Eastern),1860,Cook & Heizer 1965,41.62,-122.7,NoAmer,n,30.0,11.63083333,1095.93,25.0,0.25,3.0,55.0,88.51392000000001,29.504640000000006,2925.0
168,Maidu_(Mt.),1850,Cook & Heizer 1965,40.28,-120.56,NoAmer,n,20.0,8.571666667,454.324,23.5,0.235,4.0,28.0,45.061632,11.265408,1900.0
170,Achomawi_(Western),1860,,41.32,-121.19,NoAmer,n,30.0,8.461666667,477.88,17.25,0.1725,3.0,64.0,102.998016,34.332672,1700.0
171,Modoc,1860,Ray 1963,42.0,-121.31,NoAmer,n,25.0,7.9675,258.958,22.89,0.2289,9.0,45.0,72.42048,8.04672,2000.0
173,Guaicura,1760,,25.0,-111.54,NoAmer,n,15.0,22.19416667,137.317,6.0,0.06,8.0,135.0,217.26144000000002,27.157680000000003,977.0
175,Shoshoni-Death_Valley,1860,Steward 1938,36.52,-116.81,NoAmer,n,0.0,25.03083333,41.422,1.29,0.0129,13.0,225.0,362.10240000000005,27.85403076923077,42.0
178,Panamint,1850,Steward 1938,36.37,-117.33,NoAmer,n,0.0,19.17166667,96.839,2.12,0.0212,11.0,220.0,354.05568000000005,32.18688,500.0
180,Koso_Mt.-Little_Lake,1860,,36.12,-117.7,NoAmer,n,0.0,17.35333333,122.638,8.57,0.0857,14.0,220.0,354.05568000000005,25.289691428571434,222.0
182,Kawaiisu,1860,Steward 1938,35.37,-118.0,NoAmer,n,0.0,15.995,195.948,11.9,0.11900000000000001,9.0,150.0,241.40160000000003,26.822400000000002,500.0
