camp,resource,day,daily_gain_kcal_per_capita,cumulative_gain_kcal_per_capita,complete_camp
2,tot_tuber,5,5529.07638914537,7044.75736468651,True
2,tot_tuber,6,4450.199258512289,11494.9566231988,True
2,tot_tuber,7,812.9018909491006,12307.8585141479,True
2,tot_tuber,8,1016.1273636864007,13323.9858778343,True
2,tot_tuber,9,0.0,13323.9858778343,True
3,tot,1,8778.83833846167,8778.83833846167,True
3,tot,2,5700.19747174483,14479.0358102065,True
3,tot,3,0.0,14479.0358102065,True
3,tot_meat,1,0.0,0.0,True
3,tot_meat,2,3203.52685235294,3203.52685235294,True
3,tot_meat,3,0.0,3203.52685235294,True
3,tot_rat,1,10714.2623384617,10714.2623384617,True
3,tot_rat,2,5700.197471744799,16414.4598102065,True
3,tot_rat,3,0.0,16414.4598102065,True
3,tot_rat_only,1,1935.424,1935.424,True
3,tot_rat_only,2,0.0,1935.424,True
3,tot_rat_only,3,0.0,1935.424,True
3,tot_tuber,1,8736.77798937076,8736.77798937076,True
3,tot_tuber,2,2496.67061939184,11233.4486087626,True
3,tot_tuber,3,0.0,11233.4486087626,True
4,tot,1,2094.33388258332,2094.33388258332,False
4,tot,2,3305.34783590388,5399.6817184872,False
4,tot,3,1387.36844942674,6787.05016791394,False
4,tot,4,889.3297179524407,7676.37988586638,False
4,tot,5,317.7107935587792,7994.09067942516,False
4,tot,6,704.6549602010209,8698.74563962618,False
4,tot,7,1161.8871241485303,9860.63276377471,False
4,tot,8,1585.6622346650893,11446.2949984398,False
4,tot,9,1394.024162477599,12840.3191609174,False
4,tot,10,1583.6658578056013,14423.985018723,False
4,tot,11,272.579719420999,14696.564738144,False
4,tot_meat,1,630.870307354011,630.870307354011,False
4,tot_meat,2,271.64290785882304,902.513215212834,False
4,tot_meat,3,350.33311529411594,1252.84633050695,False
4,tot_meat,4,0.0,1252.84633050695,False
4,tot_meat,5,95.73558210021997,1348.58191260717,False
4,tot_meat,6,55.43732813445013,1404.01924074162,False
4,tot_meat,7,55.437328134459904,1459.45656887608,False
4,tot_meat,8,72.76149317647014,1532.21806205255,False
4,tot_meat,9,6.929666016799956,1539.14772806935,False
4,tot_meat,10,134.74350588236007,1673.89123395171,False
4,tot_meat,11,71.86320313724991,1745.75443708896,False
4,tot_rat,1,3675.85177972618,3675.85177972618,False
4,tot_rat,2,5495.141847332449,9170.99362705863,False
4,tot_rat,3,2739.0931478394705,11910.0867748981,False
4,tot_rat,4,7936.942628297202,19847.0294031953,False
4,tot_rat,5,5690.8164697492975,25537.8458729446,False
4,tot_rat,6,3572.242356119401,29110.088229064,False
4,tot_rat,7,2138.604770515798,31248.6929995798,False
4,tot_rat,8,4870.353251808003,36119.0462513878,False
4,tot_rat,9,1845.886418804199,37964.932670192,False
4,tot_rat,10,2006.0798260594966,39971.0124962515,False
4,tot_rat,11,4620.627499315102,44591.6399955666,False
4,tot_rat_only,1,1581.51789714286,1581.51789714286,False
4,tot_rat_only,2,2189.7940114285702,3771.31190857143,False
4,tot_rat_only,3,1351.7246984127,5123.03660698413,False
4,tot_rat_only,4,7047.61291034487,12170.649517329,False
4,tot_rat_only,5,5373.105676190398,17543.7551935194,False
4,tot_rat_only,6,2867.5873959184028,20411.3425894378,False
4,tot_rat_only,7,976.7176463672986,21388.0602358051,False
4,tot_rat_only,8,3284.691017142901,24672.751252948,False
4,tot_rat_only,9,451.862256326498,25124.6135092745,False
4,tot_rat_only,10,422.4139682540008,25547.0274775285,False
4,tot_rat_only,11,4348.047779894201,29895.0752574227,False
4,tot_tuber,1,1460.32018266931,1460.32018266931,False
4,tot_tuber,2,2735.3321104450597,4195.65229311437,False
4,tot_tuber,3,1037.03533413262,5232.68762724699,False
4,tot_tuber,4,576.1948269179602,5808.88245416495,False
4,tot_tuber,5,218.27921145855998,6027.16166562351,False
4,tot_tuber,6,648.3860320665599,6675.54769769007,False
4,tot_tuber,7,1106.4497960140798,7781.99749370415,False
4,tot_tuber,8,1512.90074148864,9294.89823519279,False
4,tot_tuber,9,1387.0944964608098,10681.9927316536,False
4,tot_tuber,10,1448.9223519232,12130.9150835768,False
4,tot_tuber,11,200.7165162837009,12331.6315998605,False
5,tot,1,338.894503031365,338.894503031365,True
5,tot,2,0.0,338.894503031365,True
5,tot,3,1343.289104796385,1682.18360782775,True
5,tot,4,80.0942852569101,1762.27789308466,True
5,tot_meat,1,338.894503031365,338.894503031365,True
5,tot_meat,2,0.0,338.894503031365,True
5,tot_meat,3,1343.289104796385,1682.18360782775,True
5,tot_meat,4,27.985189683250155,1710.168797511,True
5,tot_rat,1,3068.33860559547,3068.33860559547,True
5,tot_rat,2,12118.73181538463,15187.0704209801,True
5,tot_rat,3,2980.9555663348,18168.0259873149,True
5,tot_rat,4,7722.537772436401,25890.5637597513,True
5,tot_rat_only,1,2729.4441025641,2729.4441025641,True
5,tot_rat_only,2,12118.731815384599,14848.1759179487,True
5,tot_rat_only,3,1637.6664615384998,16485.8423794872,True
5,tot_rat_only,4,7642.443487179502,24128.2858666667,True
5,tot_tuber,1,0.0,0.0,True
5,tot_tuber,2,0.0,0.0,True
5,tot_tuber,3,0.0,0.0,True
5,tot_tuber,4,52.1090955736615,52.1090955736615,True
6,tot,1,1979.3235027664,1979.3235027664,True
6,tot,2,1511.1004221348098,3490.42392490121,True
6,tot,3,1862.9001667583998,5353.32409165961,True
6,tot,4,949.4925358751307,6302.81662753474,True
6,tot,5,2765.9650859021795,9068.78171343692,True
6,tot,6,389.0362336097496,9457.81794704667,True
6,tot,7,1298.157861525131,10755.9758085718,True
6,tot,8,704.5409575344001,11460.5167661062,True
6,tot,9,350.82049450409977,11811.3372606103,True
6,tot,10,778.0089455985999,12589.3462062089,True
6,tot,11,2010.1119191867,14599.4581253956,True
6,tot,12,35.72036999999909,14635.1784953956,True
6,tot,13,747.7496961585002,15382.9281915541,True
6,tot,14,1269.5389895891021,16652.4671811432,True
6,tot,15,937.8097182851998,17590.2768994284,True
6,tot,16,3189.2965446331,20779.5734440615,True
6,tot_meat,1,0.0,0.0,True
6,tot_meat,2,971.874509321267,971.874509321267,True
6,tot_meat,3,0.0,971.874509321267,True
6,tot_meat,4,573.1490678431329,1545.0235771644,True
6,tot_meat,5,2369.4127265158404,3914.43630368024,True
6,tot_meat,6,50.327112380949984,3964.76341606119,True
6,tot_meat,7,181.9037329411799,4146.66714900237,True
6,tot_meat,8,0.0,4146.66714900237,True
6,tot_meat,9,14.819136078430347,4161.4862850808,True
6,tot_meat,10,60.634577647059814,4222.12086272786,True
6,tot_meat,11,1242.9289907420198,5465.04985346988,True
6,tot_meat,12,0.0,5465.04985346988,True
6,tot_meat,13,513.5118843697501,5978.56173783963,True
6,tot_meat,14,291.04597270587965,6269.60771054551,True
6,tot_meat,15,283.33733433155066,6552.94504487706,True
6,tot_meat,16,337.46752506787925,6890.41256994494,True
6,tot_rat,1,1979.3235027664,1979.3235027664,True
6,tot_rat,2,2166.1670067501896,4145.49050951659,True
6,tot_rat,3,2336.0038112028406,6481.49432071943,True
6,tot_rat,4,3315.01075809736,9796.50507881679,True
6,tot_rat,5,3857.7427269278105,13654.2478057446,True
6,tot_rat,6,6471.797376466899,20126.0451822115,True
6,tot_rat,7,2987.9970072215,23114.042189433,True
6,tot_rat,8,704.540957534402,23818.5831469674,True
6,tot_rat,9,350.8204945039979,24169.4036414714,True
6,tot_rat,10,5671.766404161102,29841.1700456325,True
6,tot_rat,11,16210.377442099798,46051.5474877323,True
6,tot_rat,12,1326.0030366666979,47377.550524399,True
6,tot_rat,13,3933.957913845603,51311.5084382446,True
6,tot_rat,14,2473.7469163310016,53785.2553545756,True
6,tot_rat,15,17836.201175248098,71621.4565298237,True
6,tot_rat,16,3301.5936734244024,74923.0502032481,True
6,tot_rat_only,1,0.0,0.0,True
6,tot_rat_only,2,655.066584615384,655.066584615384,True
6,tot_rat_only,3,473.103644444446,1128.17022905983,True
6,tot_rat_only,4,2365.51822222222,3493.68845128205,True
6,tot_rat_only,5,1091.7776410256397,4585.46609230769,True
6,tot_rat_only,6,6082.761142857111,10668.2272351648,True
6,tot_rat_only,7,1689.8391456963,12358.0663808611,True
6,tot_rat_only,8,0.0,12358.0663808611,True
6,tot_rat_only,9,0.0,12358.0663808611,True
6,tot_rat_only,10,4893.757458562499,17251.8238394236,True
6,tot_rat_only,11,14200.265522913101,31452.0893623367,True
6,tot_rat_only,12,1290.2826666666988,32742.3720290034,True
6,tot_rat_only,13,3186.208217687101,35928.5802466905,True
6,tot_rat_only,14,1204.2079267418958,37132.7881734324,True
6,tot_rat_only,15,16898.391456962905,54031.1796303953,True
6,tot_rat_only,16,112.29712879129511,54143.4767591866,True
6,tot_tuber,1,1956.9860337664,1956.9860337664,True
6,tot_tuber,2,521.0909557366199,2478.07698950302,True
6,tot_tuber,3,1862.9001667583998,4340.97715626142,True
6,tot_tuber,4,376.3434680320006,4717.32062429342,True
6,tot_tuber,5,382.1333675401802,5099.4539918336,True
6,tot_tuber,6,338.70912122879963,5438.1631130624,True
6,tot_tuber,7,1112.356003584,6550.5191166464,True
6,tot_tuber,8,698.5875625343997,7249.1066791808,True
6,tot_tuber,9,301.0747744256005,7550.1814536064,True
6,tot_tuber,10,606.8538422016,8157.035295808,True
6,tot_tuber,11,762.6988107975503,8919.73410660555,True
6,tot_tuber,12,0.0,8919.73410660555,True
6,tot_tuber,13,204.30073978879955,9124.03484639435,True
6,tot_tuber,14,978.4930168832507,10102.5278632776,True
6,tot_tuber,15,630.3753089535985,10732.9031722312,True
6,tot_tuber,16,2848.6305580268,13581.533730258,True
7,tot,1,795.2081016384,795.2081016384,False
7,tot,2,5375.283717946,6170.4918195844,False
7,tot,3,1094.2910070468897,7264.78282663129,False
7,tot,4,287.3895574062599,7552.17238403755,False
7,tot,5,1340.6906014279803,8892.86298546553,False
7,tot,6,7911.937211863671,16804.8001973292,False
7,tot_meat,1,343.59594,343.59594,False
7,tot_meat,2,0.0,343.59594,False
7,tot_meat,3,0.0,343.59594,False
7,tot_meat,4,0.0,343.59594,False
7,tot_meat,5,298.508689954751,642.104629954751,False
7,tot_meat,6,286.636185240642,928.740815195393,False
7,tot_rat,1,4934.86499052729,4934.86499052729,False
7,tot_rat,2,5375.28371794601,10310.1487084733,False
7,tot_rat,3,1094.2910070469006,11404.4397155202,False
7,tot_rat,4,5448.5202240728995,16852.9599395931,False
7,tot_rat,5,1340.6906014279994,18193.6505410211,False
7,tot_rat,6,9017.893783292202,27211.5443243133,False
7,tot_rat_only,1,4139.65688888889,4139.65688888889,False
7,tot_rat_only,2,0.0,4139.65688888889,False
7,tot_rat_only,3,0.0,4139.65688888889,False
7,tot_rat_only,4,5161.13066666666,9300.78755555555,False
7,tot_rat_only,5,0.0,9300.78755555555,False
7,tot_rat_only,6,1105.956571428551,10406.7441269841,False
7,tot_tuber,1,451.6121616384,451.6121616384,False
7,tot_tuber,2,5375.283717946,5826.8958795844,False
7,tot_tuber,3,1094.2910070468897,6921.18688663129,False
7,tot_tuber,4,287.3895574062599,7208.57644403755,False
7,tot_tuber,5,1042.1819114732298,8250.75835551078,False
7,tot_tuber,6,7625.301026623021,15876.0593821338,False
8,tot,1,150.12918777104,150.12918777104,False
8,tot,2,265.436122645513,415.565310416553,False
8,tot,3,7.786416579971956,423.351726996525,False
8,tot_meat,1,0.0,0.0,False
8,tot_meat,2,184.791093781513,184.791093781513,False
8,tot_meat,3,0.0,184.791093781513,False
8,tot_rat,1,1054.8281705562,1054.8281705562,False
8,tot_rat,2,265.4361226455201,1320.26429320172,False
8,tot_rat,3,7.786416579970137,1328.05070978169,False
8,tot_rat_only,1,904.698982785165,904.698982785165,False
8,tot_rat_only,2,0.0,904.698982785165,False
8,tot_rat_only,3,0.0,904.698982785165,False
8,tot_tuber,1,129.83849647104,129.83849647104,False
8,tot_tuber,2,80.64502886400001,210.48352533504,False
8,tot_tuber,3,7.786416579971984,218.269941915012,False
9,tot,1,1032.81785620831,1032.81785620831,True
9,tot,2,851.9056324902699,1884.72348869858,True
9,tot,3,868.6812917592399,2753.40478045782,True
9,tot,4,1016.79152701971,3770.19630747753,True
9,tot,5,559.6846923532898,4329.88099983082,True
9,tot_meat,1,717.29912311634,717.29912311634,True
9,tot_meat,2,45.45534385026701,762.754466966607,True
9,tot_meat,3,342.76187011764296,1105.51633708425,True
9,tot_meat,4,194.03064847059,1299.54698555484,True
9,tot_meat,5,108.72407026369001,1408.27105581853,True
